14,19,0,57,40,1,12,16,1,94,36,3
23,13,2,47,34,3,12,10,0,76,42,1
15,10,4,44,32,1,9,11,0,79,38,3
20,4,0,44,38,3,10,8,0,71,41,3
23,9,1,38,24,2,13,11,2,74,41,4
18,9,4,40,42,2,10,9,0,70,49,1
16,9,0,44,31,4,14,15,2,87,48,6
17,9,1,37,33,2,7,12,3,86,46,7
16,10,1,44,39,3,14,12,2,80,38,12
16,9,0,38,51,4,12,14,1,86,43,3
12,11,2,49,42,2,15,18,1,84,52,3
20,13,0,47,37,2,15,12,2,87,35,4
16,8,3,48,31,10,15,10,1,85,49,4
14,16,2,50,35,5,12,9,1,97,50,14
16,20,0,44,44,2,11,7,1,83,45,4
10,18,0,45,51,5,9,16,1,99,50,6
20,11,2,46,48,6,6,12,0,88,62,3
12,10,2,49,42,3,13,11,0,87,47,8
15,10,1,47,40,3,8,12,1,81,64,4
19,11,2,51,47,2,14,14,0,99,71,5
15,15,3,51,43,2,7,11,3,87,47,11
22,9,0,40,47,5,17,22,1,89,48,5
15,11,1,40,28,5,16,17,0,86,32,6
16,19,3,51,33,1,13,14,0,81,46,7
16,11,1,54,24,2,15,6,4,81,41,8
12,13,0,45,28,2,14,15,4,86,38,5
14,6,1,47,30,7,6,8,1,91,38,5
14,14,3,41,34,4,14,7,1,102,44,11
21,11,1,39,29,3,18,9,4,78,38,11
13,9,1,43,27,1,11,7,1,71,39,11
17,11,0,40,27,5,10,11,1,84,36,5
15,11,2,34,33,6,12,11,2,69,31,10
13,10,2,31,42,6,10,14,1,65,42,7
15,10,1,50,37,2,8,6,2,96,58,6
16,19,3,47,45,4,12,18,1,102,40,5
7,11,1,44,50,2,8,14,0,64,49,6
13,9,2,41,40,5,16,10,1,83,60,8
14,12,3,43,34,4,12,12,1,82,47,7
22,13,0,45,41,4,8,10,0,87,39,1
17,10,2,47,38,4,19,9,1,80,52,6
14,16,1,45,40,3,9,13,2,73,54,3
18,11,1,47,35,3,13,9,0,79,51,3
23,7,1,48,41,4,11,15,0,63,39,8
21,11,1,38,40,3,15,12,2,86,51,5
15,10,1,38,52,3,11,12,0,96,64,5
23,12,0,44,45,4,10,14,0,95,57,1
16,4,0,56,37,4,11,10,1,82,60,7
14,9,1,49,33,4,13,8,2,78,44,6
17,5,0,44,33,1,7,15,0,80,43,6
19,7,2,35,48,7,14,11,0,93,47,8
16,8,3,42,31,3,14,12,1,77,40,8
19,7,0,40,28,3,14,15,1,75,55,9
17,14,0,44,39,0,9,14,0,75,47,2
19,17,2,43,49,3,10,12,1,74,51,10
